displaytitle,description,class
How to Get Ready for Language Traveling,Find out if you're really up to going and find a good city and country with a language you're taking in school,31-40secs
How to Tell if a Pearl Is Real,Check for an overtone,21-30secs
How to Study the Physiology of Digestion in the Human Body,Understand how food breaks down into smaller pieces,51-60secs
How to Arrange a Marriage Proposal in Skywriting,Locate a suitable company that is able to perform skywriting,41-50secs
How to Study and Understand the Functions of the Liver in Humans,Learn about the structure of the liver,1-10secs
How to Say Clean in Spanish,Learn the infinitive form,11-20secs
How to Say Clean in Spanish,Say limpiar in the present tense,11-20secs
How to Make a Model Cell,Cover the flat side of the styrofoam ball with clay,1-10secs
How to Use Dry Ice,Acquire your flash-freeze tools,31-40secs
How to Fix Common Baby Feeding Problems,Introduce your child to the right foods at the right time,11-20secs
How to Encourage Students to Learn,Cultivate relationships with students,41-50secs
How to Encourage Students to Learn,Allow opportunities for students to shape the class content,41-50secs
How to Study the Chemical Reactions of Ammonia,Know that nitrogen and hydrogen are the necessary reactants,41-50secs
How to Make a Baby Mobile,Gather your supplies,21-30secs
How to Make a Baby Mobile,Cut your ribbon,51-60secs
How to Make a Baby Mobile,Tie the ribbon around the mobile,11-20secs
How to Make a Baby Mobile,Hang your mobile,1-10secs
How to Conjugate Ver,Conjugate ver in the present indicative,31-40secs
How to Conjugate Ver,Use the future indicative,21-30secs
How to Read for Comprehension,Ask questions,11-20secs
How to Find the Reverse Complement of a DNA Sequence,Create or accept an input file,41-50secs
How to Bottle Feed Babies,Gather your equipment,41-50secs
How to Set an Armitron Watch,Set the date and time of your digital clock,11-20secs
How to Dress in Italy,Wear nice shoes,31-40secs
How to Connect an iPhone to a Projector,Make sure the projector is using the same network as your iPhone,31-40secs
How to Wear Hawaiian Flowers,Choose the freshest and best sized flower,41-50secs
How to Clean a White Hat,Examine the hat,11-20secs
How to Treat a Baby with a Yeast Infection,Determine if the diaper rash is caused by yeast infection,21-30secs
How to Read Egyptian Hieroglyphics,Grasp the idea of ancient Egyptian hieroglyphic prepositions,11-20secs
How to Wear Your Glasses,Consider which glasses will best fit your face,51-60secs
How to Become a Civil War Buff,Obtain books articles and documentaries about the Civil War,21-30secs
How to Take Care of a Coughing Baby,Elevate their mattress with a couple or so pillows at one end of their mattress,1-10secs
How to Visit the Weta Cave in Wellington,Get to Weta Cave,21-30secs
How to Get to JFK Airport from Manhattan,Take a train,21-30secs
How to Get Through an Airport,For international flights follow signs to Immigration,21-30secs
How to Get Through an Airport,Exit the airport,41-50secs
How to Hook Up an iPhone to a Car Stereo,Play music or make calls,1-10secs
How to Get Stains Off Eyeglasses,Gather your supplies,21-30secs
How to Move to Norway,Consider the length of days and night,41-50secs
How to Clean Oakleys,Wipe down your lenses,21-30secs
How to Remove Smell from an Old Leather Bag,Slide the smelly leather bag in with the newspapers,21-30secs
How to Remove Smell from an Old Leather Bag,Remove from the bag,51-60secs
How to Become a Human Rights Attorney,Research law schools with strong human rights programs,51-60secs
How to Talk to Your Partner About Their Smartphone Obsession,Be polite,21-30secs
How to Prevent Bad Weather from Ruining a Vacation,Schedule around the weather,31-40secs
How to Travel During the Holidays for Seniors,Choose the right time of day for travel,31-40secs
How to Apply for a Social Security Number for a Baby,Prove your child's age,1-10secs
How to Handle Your Baby Rolling over at Night,Put your baby to sleep on their back,31-40secs
How to Transition Your Kids to a Barefoot Lifestyle,Start encouraging the child to go barefoot at home as often as possible,51-60secs
How to Make Roasted Yam in Harvest Moon: Animal Parade,Have the yam in your rucksack,21-30secs
How to Make Roasted Yam in Harvest Moon: Animal Parade,Start a bonfire,11-20secs
How to Make Roasted Yam in Harvest Moon: Animal Parade,Choose the yam that you need for the recipe,11-20secs
How to Travel for Free,Gas-jugging,1-10secs
How to Travel for Free,Transport other vehicles,41-50secs
How to Socialize Young Kids when You Are Introverted,Encourage cooperation,51-60secs
How to Raise Kids With Dogs,Apply baby products to yourself or your dog's toys,51-60secs
How to Travel During Hurricane Season,Communicate with hotel staff,31-40secs
How to Travel During Hurricane Season,Stick together and stay inside,11-20secs
How to Travel During Hurricane Season,Do not use electrical equipment,21-30secs
How to Keep a Large Group of Kids Calm Quiet and Respectful,Stay calm,21-30secs
How to Make Grilled Sea Bream in Harvest Moon: Animal Parade,Acquire matches,1-10secs
How to Instill Discipline in Children,Stay calm,1-10secs
How to Organize Bridal Shower Games,The First Kiss Fun Game: This is a fun game and can be a great icebreaker for the guests who do not know each other,51-60secs
How to Recycle a Computer,Take your computer to a nearby recycling center,51-60secs
How to Get the Silver Axe on Animal Crossing: City Folk,Serena will sometimes look sad and ask why you threw the axe in and if you hate her,1-10secs
How to Get the Silver Axe on Animal Crossing: City Folk,She will ask different things each time you throw an axe in,11-20secs
How to Get the Silver Axe on Animal Crossing: City Folk,She asks what type of axe you threw in,21-30secs
How to Sneak Healthy Food to Kids,Puree vegetables and then put them in your pasta sauce,31-40secs
How to Sneak Healthy Food to Kids,Shred zucchini or squash and add it to your casserole,31-40secs
How to Sneak Healthy Food to Kids,Try adding some ground nuts to your bread and baking recipes,11-20secs
How to Sneak Healthy Food to Kids,Add spinach to your chicken dinner,51-60secs
How to Create a Successful Region in SimCity,Start another city next to the first one and create a connection,21-30secs
How to Make Grilled Goby in Harvest Moon: Animal Parade,Have the goby in your rucksack,1-10secs
How to Make Grilled Goby in Harvest Moon: Animal Parade,Start a bonfire,21-30secs
How to Make Grilled Goby in Harvest Moon: Animal Parade,Choose the goby that you need for the recipe,1-10secs
How to Trim Down the Size of Your Wedding Guest List,Cut it altogether,31-40secs
How to Deal With a Lover Who Sulks,Recognize a sulking type,51-60secs
How to Connect with an Expectant Parent As Adoptive Parents,Advertise,1-10secs
How to Get 99 Crafting in RuneScape,Obtain each uncut gem and a chisel,21-30secs
How to Use Power Ups in Super Mario Galaxy,Grab the Cloud Flower to transform to Cloud Mario,11-20secs
How to Use Power Ups in Super Mario Galaxy,Touch an enemy,11-20secs
How to Make Grilled Freshwater Prawn in Harvest Moon: Animal Parade,Acquire matches,51-60secs
How to Let Go of the Guy Who Left You for Another Girl,Take care of your body,21-30secs
How to Solve the Shakespeare Puzzle in Silent Hill,Read the note on the door,41-50secs
How to Respond to a Name Dropper,Change the subject,1-10secs
How to Recover From an Awkward Silence,Assess what you said,21-30secs
How to Get Full Dragon Armour in RuneScape,Get a Dragon full helmet,31-40secs
How to Trust Someone New After an Unfaithful Partner,Recognize that everyone makes mistakes,1-10secs
How to Be a Good Leader,Be a good friend to your teammates,1-10secs
How to Practice Openness in a Relationship,Establish a relaxed mood,1-10secs
How to Practice Openness in a Relationship,Stay honest,1-10secs
How to Practice Openness in a Relationship,Revisit the situation often,21-30secs
How to Set Side Switch Function On an iPad,Tap the Settings icon on the home screen,11-20secs
How to Know when a Girl Is Using You,Use leading questions,31-40secs
How to Know when a Girl Is Using You,Listen to her carefully,31-40secs
How to Destress with Your Tablet Computer,Shut out the world around you and concentrate on your mindless diversion,1-10secs
How to Make a Drunk Dragon in RuneScape,Gather the following ingredients along with a cocktail shaker and cocktail glass,31-40secs
How to Get a Tan in Animal Crossing: New Leaf,Wait for summer,41-50secs
How to Get from Level 1 to 50 Attack in Runescape,Levels 1-20,41-50secs
How to Handle an Animal Jam Bully,Take the higher road,51-60secs
How to Be a Good Clan Member on Animal Jam,For starters pick the right animal!,31-40secs
How to Make Tempura Rice in Harvest Moon: Friends of Mineral Town,Gather the ingredients needed to make the rice dish,31-40secs
How to Use Strategies and Tactics in Clash Royale,Choose a crown tower to focus target and then attack it but remember to defend too,1-10secs
How to Get Along With Difficult People,Keep your cool,1-10secs
How to Get Prepared Before Buying Roblox BC,Think about what you will get,1-10secs
How to Diss Someone,Figure out the person's weak spot,31-40secs
How to Be Good at MMT on Roblox,Be wary of a Murderer's perks,11-20secs
How to Be Good at MMT on Roblox,Camp Around,11-20secs
How to Clean a Turtle Tank,Clean the devices and decorations,51-60secs
How to See the Beating Heart in the Statue of Happiness in GTA IV,Acquire a helicopter,11-20secs
How to Pass the Tough Missions in Grand Theft Auto San Andreas,Use small flicks or adjustments of the left stick to control the plane while holding down the accelerator,21-30secs
How to Pass the Tough Missions in Grand Theft Auto San Andreas,Fly the fuselage (body) of the plane through the inside edge of the corona,11-20secs
How to Pass the Tough Missions in Grand Theft Auto San Andreas,For landing land early and drive the plane like a car into the corona,21-30secs
How to Get Out of a Text Fight with a Friend,Talk with them and discuss what the problem is,1-10secs
How to Understand Why People Choose to Steal,Understand that some people steal to meet their basic needs,21-30secs
How to Conceal Your Farting in Public,Drown out the smell,21-30secs
How to Snipe on Call of Duty: Black Ops,Follow the same rules as in the other CoD games,1-10secs
How to Know if Your Relationship Is Holding You Back,Check for codependency,21-30secs
How to Tell a Dropper from a Dispenser on MCPE Master,See how far they can shoot,31-40secs
How to Live Underground in Minecraft,Choose the type of underground home you want,21-30secs
How to Show an Ex You Care,Ease awkwardness with small talk,1-10secs
How to Show an Ex You Care,Make small gestures of friendship,1-10secs
How to Show an Ex You Care,Do social activities with mutual friends,11-20secs
How to Show an Ex You Care,Understand your ex might be unfriendly,1-10secs
How to Make Your Partner Come Back to You,Accept the situation,41-50secs
How to End a Short Term Relationship,Remain firm in your decision,31-40secs
How to Identify a Pansexual,Understand that not everyone chooses to label their sexual orientation,1-10secs
How to Identify a Pansexual,If you're not in the position to ask someone about their orientation look at their past relationships if at all possible,11-20secs
How to Identify a Pansexual,Consider prior knowledge about someone to be a gateway to ask them about whether or not they are pansexual,1-10secs
How to Be Level 40 in Destiny,Start with bounties,31-40secs
How to Detach from Someone,Decide if you should detach,21-30secs
How to Know What to Do with the Webkinz Kinzcash Coins,Buy clothes for your pet,21-30secs
How to Take Care of a School Distributed iPad,Wipe down your iPad,21-30secs
How to Know Your Sonic Characters,Learn first-hand,41-50secs
How to Use DocScan HD,Start up the app,21-30secs
How to Use DocScan HD,Scan the image into the app,41-50secs
How to Make Sand Float on Minecraft PE,Find a nice area to build in,31-40secs
